duration,bytes_sent,bytes_received,packets,label
14,3277,4143,31,0
17,1741,1857,17,0
9,3568,1656,5,0
14,4271,1737,10,0
4,346,347,7,0
4,2942,815,15,0
17,1977,1333,59,0
9,567,1536,46,0
19,3430,624,25,0
26,1745,974,24,0
6,1490,724,6,0
21,610,1823,15,0
9,1897,1625,18,0
11,628,2557,34,0
4,1174,660,41,0
4,1190,810,10,0
8,179752,1090,311,1
1,637,2295,24,0
2,2285,301,64,0
27,3006,1405,69,0
2,2873,1797,97,0
2,5392,3656,111,0
5,3312,3283,27,0
6,1997,1205,26,0
5,413,844,40,0
11,3109,71,78,0
17,3297,3544,69,0
4,1232,734,92,0
11,2247,2281,40,0
26,713,1474,23,0
4,827,2587,29,0
5,2765,1354,19,0
2,1444,1623,82,0
3,1778,1187,39,0
1,773,1526,29,0
16,1482,2999,40,0
5,1229,577,30,0
14,1236,2259,91,0
7,2750,592,34,0
14,2647,1290,59,0
11,2620,1126,15,0
12,175,332,42,0
18,1588,1347,16,0
14,955,610,30,0
3,10599,4666,1990,1
10,247725,2236,346,1
20,4987,2385,53,0
5,867,1289,36,0
4,4236,519,25,0
26,1147,2375,26,0
3,680,860,22,0
24,2066,875,34,0
3,302,1873,12,0
6,2443,715,8,0
8,1188,1794,40,0
19,5330,806,38,0
3,943,495,7,0
8,3977,1332,12,0
23,4342,412,24,0
14,2815,2574,21,0
22,3009,1717,14,0
25,4944,707,80,0
11,1596,1183,41,0
7,2903,181,19,0
15,122706,2865,130,1
5,2899,2271,11,0
17,292,839,78,0
17,1385,70,12,0
15,519,739,40,0
4,2627,791,86,0
26,538,1713,54,0
11,1439,4468,5,0
3,1994,2731,59,0
5,1683,535,9,0
17,1680,672,27,0
1,2133,1478,22,0
26,1592,2409,40,0
5,2022,505,47,0
10,173,2044,11,0
1,4291,1317,13,0
4,1185,2488,9,0
20,549,733,89,0
2,3180,343,27,0
14,711,1053,60,0
4,1225,50,83,0
19,2247,591,25,0
8,628,2266,68,0
3,1877,1566,98,0
12,251,1496,18,0
35,723,1433,67,0
14,695,1387,84,0
21,3183,1094,23,0
8,1351,946,11,0
12,345,1579,35,0
16,1445,2377,70,0
6,665,873,9,0
4,1515,2052,55,0
5,4807,1290,28,0
11,2499,1603,55,0
31,786,1662,42,0
8,4650,1019,15,0
31,1958,250,72,0
3,14044,4203,971,1
7,3382,1362,10,0
11,1243,431,17,0
18,309,3574,25,0
8,3701,811,111,0
8,1589,658,21,0
20,805,2261,16,0
4,1883,2070,29,0
11,928,130,11,0
9,2714,922,13,0
12,2745,1512,22,0
4,2408,1025,50,0
3,1279,1226,82,0
1,9903,1516,1693,1
28,502,1633,58,0
13,1086,1113,24,0
6,12051,4854,1418,1
9,421,1617,37,0
3,2268,1611,109,0
8,1589,714,45,0
10,3938,1448,20,0
5,3826,3278,5,0
2,10931,3008,1852,1
8,1683,487,6,0
12,2287,2230,19,0
2,756,216,44,0
15,2598,2548,71,0
20,1002,1154,15,0
13,2691,2274,24,0
12,1231,467,67,0
14,2983,1906,56,0
12,272,298,64,0
2,3018,584,55,0
6,2610,1523,20,0
6,763,2937,22,0
2,1015,2967,27,0
12,380,1697,15,0
21,1428,1392,18,0
5,2471,254,62,0
253,51,240,7,1
16,1014,892,32,0
5,2640,1920,19,0
1,2507,2762,46,0
4,207577,1495,237,1
16,1063,1774,44,0
19,1588,517,17,0
9,317,1139,45,0
7,2284,746,878,1
12,870,312,96,0
11,2070,1980,38,0
14,937,1850,72,0
16,4221,2602,69,0
21,1592,1158,24,0
10,2403,1636,35,0
11,867,2175,32,0
17,810,2379,5,0
278,87,232,2,1
15,1118,2450,31,0
25,297,3093,58,0
14,578,847,64,0
8,4030,997,37,0
5,2803,1468,12,0
1,863,274,34,0
12,4266,3988,47,0
2,2721,871,26,0
3,1221,1037,18,0
8,782,754,49,0
8,938,3743,45,0
18,1364,1337,30,0
2,198282,2338,209,1
8,2246,2334,14,0
24,1047,783,32,0
15,1973,1194,24,0
4,4290,1712,27,0
10,133505,204,235,1
21,189,2003,30,0
12,1438,447,33,0
6,1609,713,23,0
38,1410,2507,36,0
14,4121,1038,97,0
7,1652,727,40,0
8,2174,489,17,0
10,829,2917,42,0
12,1306,1172,56,0
17,3194,1390,32,0
15,773,1115,15,0
12,91440,1600,389,1
8,13716,3918,726,1
6,50,223,23,0
14,227934,2080,371,1
26,1343,2112,12,0
17,4069,1463,81,0
11,2409,697,24,0
13,251,526,37,0
11,1132,1052,36,0
12,365,1021,29,0
3,2262,2205,12,0
21,1882,2363,18,0
7,79191,1774,194,1
8,1150,2997,38,0
7,2818,3349,1350,1
9,1698,712,24,0
25,2225,1885,30,0
26,1961,2251,6,0
4,1661,983,23,0
286,313,381,4,1
20,1927,999,35,0
14,4010,1033,52,0
6,885,205,79,0
20,1157,2337,26,0
8,1712,3205,22,0
9,1165,1524,15,0
22,2923,2353,12,0
4,2504,326,64,0
27,1606,3148,39,0
15,2612,474,52,0
9,2631,553,34,0
18,1241,556,78,0
7,2268,686,9,0
34,2333,4471,33,0
32,2082,459,35,0
22,1032,200,39,0
11,543,105,67,0
22,1102,953,56,0
18,3596,2230,30,0
25,1586,1238,19,0
22,2147,1562,90,0
8,979,600,12,0
9,2917,201,59,0
4,1204,953,28,0
8,1239,2549,32,0
1,1141,612,38,0
4,2646,2278,1882,1
5,3749,632,20,0
15,1219,2898,23,0
20,3055,351,63,0
12,449,1678,15,0
11,622,4858,29,0
13,848,510,9,0
19,214848,716,166,1
8,1707,649,10,0
3,2089,414,57,0
21,1992,1996,30,0
16,1483,900,20,0
17,167742,962,203,1
17,591,1600,33,0
12,3019,3270,63,0
8,952,62,29,0
9,1242,896,5,0
28,2728,1050,14,0
11,865,997,56,0
6,9925,847,852,1
3,2200,3287,887,1
13,1130,496,14,0
8,2717,3132,28,0
16,2052,1447,44,0
11,1176,1694,36,0
14,217,2257,7,0
24,6365,2701,11,0
3,2528,1276,18,0
11,610,1247,12,0
16,2709,6236,117,0
14,1102,280,50,0
1,804,1128,23,0
33,3984,256,9,0
6,240608,390,306,1
16,1292,933,16,0
14,1157,1983,3,0
18,451,698,19,0
2,1251,7207,17,0
52,1142,3347,18,0
4,737,896,36,0
10,715,697,60,0
2,1452,1312,18,0
6,1871,1424,73,0
12,2070,3746,87,0
32,1346,435,47,0
14,2463,715,16,0
4,2176,1756,53,0
6,956,1069,44,0
10,2093,1029,28,0
16,3295,921,16,0
14,2245,2221,39,0
21,4266,617,20,0
26,1309,1722,12,0
15,1072,1304,57,0
14,2102,160,8,0
8,11038,2898,1443,1
2,3450,984,38,0
39,634,570,24,0
39,1512,1078,11,0
7,2590,967,26,0
33,1371,1865,20,0
17,3882,380,44,0
6,596,969,17,0
21,243,245,17,0
9,523,993,27,0
11,1081,4770,33,0
3,124,1730,12,0
9,263,1805,27,0
9,1910,1093,34,0
9,1715,1867,32,0
16,5129,779,31,0
16,1038,467,49,0
18,1393,1381,5,0
6,2376,192,24,0
15,1292,1589,26,0
3,3443,1847,13,0
279,282,375,10,1
8,5924,1648,1963,1
5,4371,966,55,0
12,2320,244,16,0
14,4141,582,9,0
12,1724,579,26,0
12,996,2626,32,0
13,1205,1432,28,0
6,939,1786,78,0
45,1173,1171,67,0
6,1213,1107,76,0
9,591,612,20,0
11,1808,896,14,0
14,863,1343,46,0
10,2155,1221,20,0
11,2193,1927,52,0
13,1082,1434,41,0
17,1113,1988,40,0
32,834,1766,158,0
17,391,779,17,0
19,3804,1371,29,0
3,2567,1379,6,0
5,1901,2841,30,0
7,4792,962,17,0
5,1234,1907,44,0
16,732,96,9,0
17,1045,1120,77,0
1,716,1108,18,0
27,4199,2243,32,0
21,4078,262,19,0
5,1268,389,32,0
20,5291,404,91,0
16,1110,500,15,0
4,1017,1854,13,0
2,7368,1735,10,0
8,3066,1716,90,0
15,917,2760,26,0
5,740,222,44,0
18,565,680,5,0
10,854,1241,13,0
8,722,1974,42,0
4,1623,609,18,0
4,1439,496,54,0
9,1903,283,52,0
13,1693,939,38,0
22,585,1446,43,0
8,687,525,45,0
6,1669,1011,13,0
23,186,850,22,0
10,939,1002,55,0
44,863,575,27,0
4,1215,854,29,0
20,1756,1944,33,0
17,2623,2035,20,0
8,650,1007,27,0
12,1321,1655,9,0
19,1042,864,69,0
18,1297,1510,93,0
20,1861,3434,31,0
4,1985,92,75,0
28,5112,351,111,0
3,1704,589,28,0
7,836,199,11,0
6,1263,582,15,0
212,223,244,7,1
12,767,768,55,0
300,166,218,10,1
10,1991,948,36,0
7,5519,1051,30,0
25,1561,687,5,0
11,1901,620,14,0
11,2445,201,44,0
5,1748,1010,27,0
5,5142,805,39,0
6,2276,1361,25,0
6,3070,1570,9,0
271,71,363,6,1
8,1941,1104,3,0
4,3071,1815,22,0
19,50,1657,41,0
22,3163,2261,10,0
15,1508,2466,37,0
8,558,947,69,0
17,184,1268,18,0
9,52,288,20,0
17,675,2373,19,0
4,1320,415,35,0
9,2628,507,23,0
5,2597,1612,35,0
20,2362,1314,15,0
27,1506,2516,49,0
6,92242,987,384,1
20,2314,300,27,0
15,3870,788,11,0
12,808,966,30,0
35,2427,364,80,0
25,2714,3352,49,0
10,243,613,29,0
10,959,986,33,0
31,891,1138,34,0
12,794,863,108,0
11,1319,3448,34,0
10,2787,1151,9,0
7,616,258,32,0
14,208630,193,240,1
6,1161,2434,21,0
4,3285,586,41,0
29,727,589,8,0
18,139,199,26,0
21,1525,1751,102,0
10,1557,1226,13,0
24,1944,1159,70,0
17,992,73,5,0
12,2314,612,8,0
9,190495,231,321,1
22,509,1803,175,0
21,1198,746,21,0
2,5897,2806,15,0
21,4333,1966,26,0
7,554,169,44,0
10,211,1575,50,0
25,982,221,32,0
18,906,2578,2,0
10,1519,496,26,0
6,2330,1842,16,0
23,1806,610,24,0
11,425,4062,21,0
13,2103,2775,71,0
7,2006,1052,23,0
5,2461,290,24,0
1,343,627,43,0
24,702,1477,37,0
1,422,1472,15,0
27,3220,1083,45,0
4,946,340,55,0
10,2884,1076,19,0
14,1789,832,10,0
14,2344,171,26,0
2,2710,1274,28,0
11,989,2301,22,0
14,1214,606,79,0
1,1004,1584,94,0
4,136161,115,206,1
11,2999,1792,59,0
6,1659,1205,65,0
26,420,877,31,0
18,1100,2710,15,0
6,914,1638,98,0
35,1528,50,17,0
31,480,402,14,0
5,2586,683,35,0
19,1150,2162,15,0
9,1985,808,21,0
16,1302,1310,17,0
22,5903,3052,61,0
19,3495,2754,5,0
8,2576,832,6,0
17,710,882,34,0
15,1127,385,84,0
44,1038,1887,52,0
13,914,1592,33,0
12,1730,1405,19,0
4,582,2539,2,0
6,896,1983,76,0
9,4041,991,26,0
15,869,2369,81,0
13,1525,2794,15,0
9,1200,1169,15,0
2,1405,1155,29,0
245,83,304,8,1
32,536,1532,34,0
5,320,940,30,0
18,217811,407,282,1
12,4165,633,49,0
5,2753,305,7,0
16,5169,135,11,0
18,1259,500,38,0
12,1158,1751,64,0
11,360,1283,32,0
9,810,1319,8,0
35,2184,274,34,0
20,2540,2088,97,0
18,362,2038,3,0
12,2190,220,32,0
7,1729,4037,25,0
16,3442,2998,18,0
8,1900,2265,39,0
4,682,322,60,0
2,2670,1742,81,0
14,865,163,32,0
8,765,1079,28,0
22,3312,909,71,0
9,837,1533,34,0
5,1664,752,45,0
26,1039,4679,46,0
12,2035,1121,56,0
7,2341,3084,139,0
20,2034,2633,43,0
15,4545,1679,8,0
17,4415,1595,97,0
3,1426,1114,17,0
10,589,886,12,0
7,10945,992,1057,1
9,1069,1001,44,0
3,1105,2268,22,0
22,1311,366,87,0
264,234,97,11,1
8,1893,2186,63,0
14,1199,4106,45,0
26,3108,1371,90,0
17,2605,3956,165,0
242,240,307,3,1
4,1488,1584,26,0
5,999,2389,28,0
17,1464,1054,52,0
14,4296,1635,55,0
12,1043,676,18,0
18,1006,1152,20,0
21,1697,2844,30,0
13,83932,392,351,1
7,2463,1781,13,0
7,3456,2007,53,0
11,2140,1483,26,0
9,2974,737,42,0
7,962,569,30,0
217,108,334,2,1
1,330,912,28,0
4,1450,1887,7,0
18,2005,1016,98,0
15,131783,1838,302,1
13,759,1567,51,0
6,1106,3197,85,0
14,3483,311,67,0
13,227578,634,342,1
5,536,2675,42,0
15,611,1395,155,0
4,1760,403,33,0
9,2045,632,49,0
23,339,545,11,0
18,1336,581,41,0
5,842,2519,15,0
23,819,1011,44,0
7,1881,1588,23,0
4,1383,1405,20,0
1,1702,487,53,0
233,77,374,5,1
13,117377,390,352,1
2,14742,1053,881,1
14,2655,1330,3,0
5,11754,4802,884,1
11,3079,734,34,0
11,2084,683,8,0
8,2717,875,6,0
28,683,1528,37,0
17,271,732,61,0
16,1459,5493,24,0
8,1379,948,30,0
6,1304,815,9,0
15,1105,1037,27,0
268,59,245,6,1
13,2748,973,15,0
6,1220,324,16,0
9,1098,796,37,0
16,638,224,12,0
13,2607,195,43,0
15,3160,1293,130,0
10,997,768,22,0
6,606,784,13,0
11,850,594,28,0
42,1210,567,17,0
3,559,1405,38,0
4,1715,1775,79,0
28,1854,349,15,0
8,2647,3673,23,0
5,1397,1138,29,0
14,1057,1133,18,0
7,2025,488,6,0
21,1177,1593,27,0
3,3759,1038,11,0
8,1244,673,25,0
11,4918,1119,16,0
5,1173,687,21,0
20,1928,2167,51,0
9,1878,1457,36,0
8,426,616,65,0
6,1502,391,17,0
5,889,669,41,0
3,2259,50,75,0
7,1990,846,12,0
9,500,1625,49,0
8,1948,2911,63,0
15,2110,3340,13,0
7,1926,586,49,0
14,1465,1841,26,0
275,306,277,6,1
2,2010,2696,8,0
7,10876,518,1392,1
17,654,458,29,0
17,1491,292,49,0
3,2257,252,53,0
1,1182,1002,52,0
16,2812,876,22,0
3,1578,1343,50,0
31,1209,2412,45,0
7,2046,2234,37,0
12,1954,427,48,0
11,1045,423,14,0
10,1940,3475,31,0
26,4095,538,6,0
7,873,1332,18,0
10,706,3198,16,0
12,1362,278,5,0
13,978,119,39,0
10,493,2246,29,0
9,1606,2159,33,0
11,1851,937,25,0
9,3654,2692,23,0
9,1475,284,16,0
18,692,416,26,0
34,2165,870,10,0
14,4667,2660,21,0
14,1894,832,21,0
12,288,706,61,0
7,2607,2625,12,0
14,751,1565,17,0
12,2501,2788,30,0
7,2700,4736,1058,1
6,3264,3038,7,0
16,2436,1613,14,0
7,744,385,73,0
10,220889,307,397,1
6,585,1039,95,0
17,2886,1754,21,0
12,1534,310,63,0
9,2486,2912,36,0
13,1047,1821,44,0
33,4667,1351,18,0
13,1309,1307,115,0
3,209317,1542,271,1
6,3753,1840,40,0
21,2595,158,32,0
8,1436,448,46,0
9,597,456,55,0
13,1234,2684,67,0
8,610,768,24,0
6,295,1506,37,0
2,1871,670,3,0
12,1338,2454,7,0
4,1841,1683,34,0
9,4811,1351,47,0
10,860,481,63,0
11,933,1206,32,0
7,3800,1743,22,0
11,4422,363,12,0
6,810,1585,16,0
24,2686,1395,3,0
13,2343,2421,19,0
13,4110,896,10,0
14,1720,1086,5,0
2,1720,1891,28,0
3,390,1719,20,0
14,115145,2538,254,1
15,1998,941,32,0
10,1906,1288,16,0
4,2259,452,97,0
7,304,2092,96,0
11,1001,4538,86,0
17,1440,1174,43,0
9,2665,2409,35,0
11,2039,1883,5,0
8,1880,426,63,0
11,184,320,43,0
4,2749,748,19,0
9,1050,2078,11,0
6,2913,598,114,0
10,3227,861,16,0
12,1467,372,22,0
21,921,3064,19,0
2,3233,1345,36,0
13,2827,1398,7,0
2,1662,4348,14,0
10,5993,2251,49,0
9,2122,385,6,0
3,50,435,51,0
19,1188,1230,75,0
14,380,838,93,0
13,1436,1964,7,0
15,2600,1261,34,0
8,5562,277,92,0
6,1337,1741,14,0
3,2045,494,43,0
7,1086,1419,58,0
12,648,1263,16,0
7,1247,1595,5,0
5,1347,2458,15,0
13,5136,2228,65,0
5,2556,1976,52,0
13,1926,999,42,0
10,319,308,49,0
9,2100,1150,30,0
6,619,1360,57,0
18,181960,627,344,1
6,979,2379,67,0
6,1541,515,17,0
5,2919,1886,19,0
10,1593,489,63,0
12,633,267,22,0
9,854,593,22,0
11,1905,182,36,0
4,358,341,49,0
5,455,1635,21,0
10,461,3327,47,0
10,1291,987,20,0
23,671,1087,75,0
45,417,50,19,0
1,1859,1731,54,0
5,750,1435,23,0
8,1756,2900,6,0
7,2342,1277,21,0
54,1239,158,44,0
18,612,1939,14,0
4,1059,698,13,0
16,2279,1199,5,0
35,1393,1626,15,0
15,632,1759,7,0
12,2423,3522,75,0
4,3190,743,43,0
9,3364,700,13,0
10,905,4265,49,0
3,1929,50,28,0
12,2542,544,2,0
37,1000,1557,56,0
4,3087,4680,1061,1
11,2542,391,49,0
12,3426,1632,25,0
12,2512,1511,39,0
8,2991,5648,120,0
17,636,491,42,0
21,1135,1973,17,0
23,1963,1757,34,0
4,910,5455,13,0
11,3702,575,4,0
6,1191,881,10,0
16,346,827,42,0
6,13551,4736,865,1
30,5545,738,73,0
5,2976,332,30,0
5,2008,1160,27,0
10,1892,1936,57,0
9,1074,975,37,0
7,1233,1024,5,0
21,3629,1408,18,0
16,1954,358,21,0
2,6708,1277,23,0
10,4617,1136,23,0
13,3748,955,15,0
3,1996,395,25,0
13,285,1863,6,0
3,872,1871,32,0
8,6240,1701,21,0
9,918,1942,81,0
7,1773,287,34,0
7,5380,279,45,0
5,1436,783,38,0
17,3794,1479,41,0
41,1497,2645,47,0
8,1877,300,8,0
8,4430,1298,51,0
19,184289,2707,397,1
30,1247,490,65,0
18,3157,583,38,0
8,1156,2364,39,0
10,1670,2211,77,0
7,1917,299,18,0
2,956,2474,24,0
7,5158,2506,18,0
12,2197,1453,30,0
13,1199,1180,8,0
47,1655,1077,31,0
4,1561,3804,34,0
5,2201,731,23,0
32,4624,248,34,0
19,1078,875,78,0
25,2942,3059,29,0
15,1537,651,146,0
258,212,77,4,1
13,3227,839,27,0
5,826,214,46,0
1,12423,1066,993,1
20,1156,751,67,0
5,3151,1459,9,0
16,2668,746,72,0
5,1322,361,31,0
20,1703,203,102,0
6,2952,922,41,0
9,5432,438,2,0
19,2414,399,126,0
13,2717,878,9,0
23,4617,2704,32,0
9,1280,215,19,0
26,3853,1651,4,0
9,428,571,19,0
3,2812,1109,13,0
13,2095,208,17,0
12,3850,590,63,0
8,1716,1267,39,0
2,6587,1688,17,0
3,1465,818,44,0
18,70,981,2,0
15,2105,800,16,0
11,1153,424,19,0
3,2358,472,46,0
4,1004,1021,30,0
9,2361,334,88,0
8,4943,766,31,0
20,819,1902,36,0
43,9414,2493,37,0
11,573,803,86,0
30,581,1798,23,0
8,1075,1172,9,0
4,4504,1132,38,0
3,386,799,44,0
18,2421,1130,11,0
26,1452,4600,51,0
30,3245,2716,27,0
28,3104,966,15,0
8,5594,375,7,0
24,2586,1321,55,0
11,226,598,15,0
13,849,1946,11,0
7,4449,992,875,1
5,652,1011,24,0
10,675,460,41,0
24,437,660,41,0
2,1886,303,26,0
32,3129,944,29,0
